,Calculation1,School,City,County/State/ Territory,Ethnicity,Count_adm,Count_app,admit_rate
0,ABRAHAM LINCOLN HIGH SCHOOL51520,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,Asian,30,41,73.17073170731707
1,ABRAHAM LINCOLN HIGH SCHOOL51520,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,Hispanic/ Latinx,22,40,55.00000000000001
2,ABRAHAM LINCOLN HIGH SCHOOL51520,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,All,53,83,63.85542168674698
3,ACADEMIA AVANCE CHARTER SCHOOL54247,ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,Hispanic/ Latinx,13,19,68.42105263157895
4,ACADEMIA AVANCE CHARTER SCHOOL54247,ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,All,14,20,70.0
5,ACADEMIC LEADERSHIP COMMUNITY54254,ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,Hispanic/ Latinx,19,21,90.47619047619048
6,ACADEMIC LEADERSHIP COMMUNITY54254,ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,All,20,22,90.9090909090909
7,ACADEMIES EDUCATION/EMPOWERMNT54617,ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,Asian,3,5,60.0
8,ACADEMIES EDUCATION/EMPOWERMNT54617,ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,Hispanic/ Latinx,11,16,68.75
9,ACADEMIES EDUCATION/EMPOWERMNT54617,ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,African American,4,6,66.66666666666666
10,ACADEMIES EDUCATION/EMPOWERMNT54617,ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,All,18,28,64.28571428571429
11,ACADEMIES OF ANTELOPE VALLEY54659,ACADEMIES OF ANTELOPE VALLEY,Lancaster,Los Angeles,Hispanic/ Latinx,4,7,57.14285714285714
12,ACADEMIES OF ANTELOPE VALLEY54659,ACADEMIES OF ANTELOPE VALLEY,Lancaster,Los Angeles,All,6,9,66.66666666666666
13,ACADEMY OF MEDICAL ARTS AT CARSON54618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,Asian,16,23,69.56521739130434
14,ACADEMY OF MEDICAL ARTS AT CARSON54618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,Hispanic/ Latinx,7,15,46.666666666666664
15,ACADEMY OF MEDICAL ARTS AT CARSON54618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,All,25,43,58.139534883720934
16,ACADEMY OF SCIENTIFIC EXPLORAT54563,ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,Hispanic/ Latinx,14,27,51.85185185185185
17,ACADEMY OF SCIENTIFIC EXPLORAT54563,ACADEMY OF SCIENTIFIC EXPLORAT,San Fernando,Los Angeles,All,15,29,51.724137931034484
18,ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,White,10,16,62.5
19,ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,Asian,23,35,65.71428571428571
20,ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,Hispanic/ Latinx,6,13,46.15384615384615
21,ACADEMY OF THE CANYONS53262,ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,All,41,68,60.29411764705882
22,ADVANCED LRNG ACDMY EARLY COLG51005,ADVANCED LRNG ACDMY EARLY COLG,Santa Ana,Orange,All,5,7,71.42857142857143
